STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-05,,96.53253877503715,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-06,,98.3151595285996,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-07,,100.7406459328495,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-08,,100.27134670566583,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-09,,99.13805811637745,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-10,,99.873552868997,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-11,,100.83459921603371,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2013-12,,98.66810169779514,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-01,,99.1685546305873,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-02,,100.4894824482605,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-03,,98.68375665034007,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-04,,100.48787806296859,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-05,,101.22199130295142,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-06,,100.88022467353971,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-07,,98.85123908716817,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-08,,98.05526934358521,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-09,,98.12107864511944,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-10,,99.02389965494073,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-11,,97.9467855376296,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,CHL,Chile,M,Monthly,PRVM,Production volume,IX,Index,BTE,Industry (except construction),Y,Calendar and seasonally adjusted,_Z,Not applicable,2014-12,,99.56666923511187,,A,Normal value,0,Units,1,One,2015,
