date,ratio,Gas consumed Mm3,Gas consumed from stocks Mm3,Total Gas Stocks Mm3
2014-08-01,1.1704582921200133,3033.0,-1014.1666666666679,15161.071428571428
2014-09-01,1.0320388349514562,4120.0,-610.5,15771.571428571428
2014-10-01,0.92771608970172,4593.0,-229.52380952380918,16001.095238095237
2014-11-01,0.744814362907443,5737.0,808.2619047619046,15192.833333333332
2014-12-01,0.6556430446194226,7620.0,1851.476190476189,13341.357142857143
2015-01-01,0.5687578850785641,8719.0,2905.5952380952385,10435.761904761905
2015-02-01,0.5867952522255193,8088.0,2596.2380952380954,7839.523809523809
2015-03-01,0.6959401094154909,6946.0,1414.2380952380945,6425.285714285715
2015-04-01,1.1401031158932975,4461.0,-1071.333333333333,7496.619047619048
2015-05-01,1.4216508795669824,3695.0,-1939.476190476189,9436.095238095237
2015-06-01,1.3280088129991738,3631.0,-1582.0714285714294,11018.166666666666
2015-07-01,1.2704900021973193,4551.0,-1617.4285714285743,12635.59523809524
2015-08-01,1.3739698778061948,3519.0,-1701.8095238095193,14337.40476190476
2015-09-01,1.1940406976744187,4128.0,-1211.9523809523835,15549.357142857143
2015-10-01,0.9861627426683188,4842.0,-444.5,15993.857142857143
2015-11-01,0.7816091954022989,6525.0,801.9523809523835,15191.90476190476
2015-12-01,0.7220572514550422,8419.0,1642.809523809523,13549.095238095237
2016-01-01,0.5761060008760402,9132.0,3041.642857142855,10507.452380952382
2016-02-01,0.6364120308756986,7514.0,2051.0714285714294,8456.380952380952
2016-03-01,0.708511243951039,7026.0,1394.2619047619055,7062.119047619047
2016-04-01,1.15578231292517,4410.0,-974.2619047619055,8036.380952380952
2016-05-01,1.4004790419161677,4175.0,-1889.5714285714275,9925.95238095238
2016-06-01,1.4870828848223896,3716.0,-2001.1666666666679,11927.119047619048
2016-07-01,1.3738964447625865,4191.0,-1782.5476190476184,13709.666666666666
2016-08-01,1.368080921607193,3559.0,-1601.0952380952385,15310.761904761905
2016-09-01,1.1473684210526316,4655.0,-1074.0476190476184,16384.809523809523
2016-10-01,1.028393966282165,5635.0,-618.6666666666642,17003.476190476187
2016-11-01,0.7700656572423958,7463.0,1104.8809523809505,15898.595238095237
2016-12-01,0.6658190294553931,9438.0,2402.1190476190495,13496.476190476187
2017-01-01,0.6280405708643748,11141.0,3325.595238095235,10170.880952380952
2017-02-01,0.6410002475860361,8078.0,2229.7619047619055,7941.119047619047
2017-03-01,0.8263749807425667,6491.0,564.2380952380945,7376.880952380952
2017-04-01,1.1975180972078594,4835.0,-1266.3809523809523,8643.261904761905
2017-05-01,1.3880266075388026,4510.0,-1923.142857142855,10566.40476190476
2017-06-01,1.375172097292336,4358.0,-1798.857142857145,12365.261904761905
2017-07-01,1.3071193866374589,4565.0,-1628.3333333333321,13993.595238095237
2017-08-01,1.3247734138972809,3972.0,-1611.0714285714294,15604.666666666666
2017-09-01,1.1347353824820892,4327.0,-932.5476190476165,16537.214285714283
2017-10-01,1.0345617720068743,5237.0,-586.9285714285761,17124.14285714286
2017-11-01,0.7277427490542244,7930.0,1554.8571428571468,15569.285714285712
